"y","lag.1","lag.2","lag.3","lag.4","lag.5","lag.6","lag.7","lag.8","lag.9","lag.10","lag.11","lag.12","lag.13","lag.14","lag.15","lag.16","lag.17","lag.18","lag.19","lag.20","lag.21","lag.22","lag.23","lag.24","lag.25","lag.26","lag.27","lag.28","lag.29","lag.30"
25.78,48,13.35,22.5,119.15,13.09,56.99,13.2,4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75,118.56
45.04,25.78,48,13.35,22.5,119.15,13.09,56.99,13.2,4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15,7.75
31.75,45.04,25.78,48,13.35,22.5,119.15,13.09,56.99,13.2,4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71,69.15
39.17,31.75,45.04,25.78,48,13.35,22.5,119.15,13.09,56.99,13.2,4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65,62.71
7,39.17,31.75,45.04,25.78,48,13.35,22.5,119.15,13.09,56.99,13.2,4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92,15.65
7.42,7,39.17,31.75,45.04,25.78,48,13.35,22.5,119.15,13.09,56.99,13.2,4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18,21.92
29.84,7.42,7,39.17,31.75,45.04,25.78,48,13.35,22.5,119.15,13.09,56.99,13.2,4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94,69.18
39.8,29.84,7.42,7,39.17,31.75,45.04,25.78,48,13.35,22.5,119.15,13.09,56.99,13.2,4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85,50.94
37.89,39.8,29.84,7.42,7,39.17,31.75,45.04,25.78,48,13.35,22.5,119.15,13.09,56.99,13.2,4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75,13.85
4.23,37.89,39.8,29.84,7.42,7,39.17,31.75,45.04,25.78,48,13.35,22.5,119.15,13.09,56.99,13.2,4.79,14.26,0,20,31.8,20,4.87,18.15,5.83,6.1,9.09,8.7,12.5,6.75
